"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2024","841.04","847.51","849.01","840.11","885.42M","-0.58%"
"03/19/2024","845.98","847.83","852.28","845.67","834.04M","-0.32%"
"03/18/2024","848.72","848.91","853.47","847.53","981.08M","0.19%"
"03/15/2024","847.13","850.59","852.21","847.03","1.54B","-0.85%"
"03/14/2024","854.36","846.82","854.80","845.14","1.06B","0.90%"
"03/13/2024","846.75","843.14","849.14","842.03","1.11B","0.40%"
"03/12/2024","843.40","845.52","847.20","839.44","988.60M","0.08%"
"03/11/2024","842.76","845.37","848.59","841.96","923.63M","-0.62%"
"03/08/2024","848.02","839.01","848.12","838.48","903.88M","1.15%"
"03/07/2024","838.39","838.82","840.66","833.14","1.05M","0.13%"
"03/06/2024","837.26","827.70","841.06","827.43","1.11B","0.95%"
"03/05/2024","829.39","828.85","831.72","823.55","1.21B","-0.26%"
"03/04/2024","831.58","834.91","837.55","830.85","914.68M","-0.27%"
"03/01/2024","833.85","836.02","840.06","832.36","1.30B","-0.28%"
"02/29/2024","836.19","841.16","841.95","833.11","2.44M","-0.66%"
"02/28/2024","841.77","846.66","846.86","841.21","1.10M","-0.96%"
"02/27/2024","849.90","853.81","856.71","847.84","1.52M","-0.61%"
"02/23/2024","855.12","858.19","858.50","853.61","1.31M","-0.28%"
"02/22/2024","857.54","854.20","859.80","851.40","1.39B","0.65%"
"02/21/2024","852.03","844.02","852.93","840.61","1.59B","1.10%"
"02/20/2024","842.74","847.04","847.66","838.50","1.10B","-0.41%"
"02/19/2024","846.24","843.27","848.38","842.38","868.23M","0.03%"
"02/16/2024","845.97","850.72","852.74","843.33","1.14M","0.09%"
"02/15/2024","845.18","845.37","848.93","842.42","1.17M","0.08%"
"02/14/2024","844.51","843.66","846.56","841.50","941.79K","-0.76%"
"02/13/2024","850.94","851.54","854.90","850.34","932.79K","0.17%"
"02/12/2024","849.52","849.26","851.39","847.02","796.56K","0.11%"
"02/09/2024","848.58","850.41","851.60","846.79","684.73K","-0.12%"
"02/08/2024","849.62","856.49","859.91","849.39","1.08M","-0.91%"
"02/07/2024","857.43","857.17","859.14","853.17","1.11M","0.24%"
"02/06/2024","855.37","847.98","858.54","847.98","1.40B","1.05%"
"02/05/2024","846.52","846.28","851.02","843.82","1.38B","-0.09%"
"02/02/2024","847.31","841.95","848.96","841.95","1.17M","1.33%"
"02/01/2024","836.15","833.73","840.22","829.82","1.16M","0.26%"
"01/31/2024","834.02","839.59","839.77","830.73","1.31M","-0.53%"
"01/30/2024","838.49","840.65","841.48","836.49","1.27M","-0.33%"
"01/29/2024","841.30","841.29","844.12","834.65","1.04B","0.53%"
"01/26/2024","836.86","841.95","844.54","834.10","1.10M","-0.64%"
"01/25/2024","842.28","843.07","844.75","838.43","1.24M","-0.46%"
"01/24/2024","846.15","831.57","847.08","829.74","1.51M","1.88%"
"01/23/2024","830.52","839.60","841.32","827.94","1.86M","-0.74%"
"01/22/2024","836.68","845.91","845.98","836.19","2.94B","-1.03%"
"01/19/2024","845.38","845.84","849.15","842.24","1.96B","0.54%"
"01/18/2024","840.80","845.14","847.59","838.93","1.54M","-0.33%"
"01/17/2024","843.57","853.82","853.82","841.78","1.74M","-1.57%"
"01/16/2024","857.05","859.99","860.91","855.73","928.12M","-0.41%"
"01/15/2024","860.62","866.88","866.94","859.27","692.36K","-0.58%"
"01/12/2024","865.60","864.66","867.66","862.28","977.20K","0.20%"
"01/11/2024","863.87","868.42","869.04","862.95","724.30K","-0.36%"
"01/10/2024","866.99","868.76","870.35","864.32","1.34M","-0.11%"
